tick: 1.0,             Human number: 100,             Zombie number: 5
tick: 81.0,             Human number: 83,             Zombie number: 22
tick: 82.0,             Human number: 83,             Zombie number: 22
tick: 83.0,             Human number: 83,             Zombie number: 22
tick: 84.0,             Human number: 83,             Zombie number: 22
tick: 85.0,             Human number: 83,             Zombie number: 22
tick: 86.0,             Human number: 83,             Zombie number: 22
tick: 87.0,             Human number: 82,             Zombie number: 23
tick: 88.0,             Human number: 82,             Zombie number: 23
tick: 89.0,             Human number: 82,             Zombie number: 23
tick: 90.0,             Human number: 82,             Zombie number: 23
tick: 91.0,             Human number: 82,             Zombie number: 23
tick: 92.0,             Human number: 82,             Zombie number: 23
tick: 93.0,             Human number: 82,             Zombie number: 23
tick: 94.0,             Human number: 81,             Zombie number: 24
tick: 95.0,             Human number: 80,             Zombie number: 25
tick: 96.0,             Human number: 80,             Zombie number: 25
tick: 97.0,             Human number: 80,             Zombie number: 25
tick: 98.0,             Human number: 80,             Zombie number: 25
tick: 99.0,             Human number: 79,             Zombie number: 26
tick: 100.0,             Human number: 77,             Zombie number: 28
tick: 101.0,             Human number: 77,             Zombie number: 28
tick: 102.0,             Human number: 77,             Zombie number: 28
tick: 103.0,             Human number: 77,             Zombie number: 28
tick: 104.0,             Human number: 77,             Zombie number: 28
tick: 105.0,             Human number: 76,             Zombie number: 29
tick: 106.0,             Human number: 76,             Zombie number: 29
tick: 107.0,             Human number: 75,             Zombie number: 30
tick: 108.0,             Human number: 75,             Zombie number: 30
tick: 109.0,             Human number: 74,             Zombie number: 31
tick: 110.0,             Human number: 71,             Zombie number: 34
tick: 111.0,             Human number: 71,             Zombie number: 34
tick: 112.0,             Human number: 70,             Zombie number: 35
tick: 113.0,             Human number: 69,             Zombie number: 36
tick: 114.0,             Human number: 69,             Zombie number: 36
tick: 115.0,             Human number: 68,             Zombie number: 37
tick: 116.0,             Human number: 67,             Zombie number: 38
tick: 117.0,             Human number: 66,             Zombie number: 39
tick: 118.0,             Human number: 66,             Zombie number: 39
tick: 119.0,             Human number: 66,             Zombie number: 39
tick: 120.0,             Human number: 65,             Zombie number: 40
tick: 121.0,             Human number: 64,             Zombie number: 41
tick: 122.0,             Human number: 64,             Zombie number: 41
tick: 123.0,             Human number: 63,             Zombie number: 42
tick: 124.0,             Human number: 63,             Zombie number: 42
tick: 125.0,             Human number: 62,             Zombie number: 43
tick: 126.0,             Human number: 61,             Zombie number: 44
tick: 127.0,             Human number: 61,             Zombie number: 44
tick: 128.0,             Human number: 61,             Zombie number: 44
tick: 129.0,             Human number: 61,             Zombie number: 44
tick: 130.0,             Human number: 60,             Zombie number: 45
tick: 131.0,             Human number: 59,             Zombie number: 46
tick: 132.0,             Human number: 59,             Zombie number: 46
tick: 133.0,             Human number: 58,             Zombie number: 47
tick: 134.0,             Human number: 58,             Zombie number: 47
tick: 135.0,             Human number: 58,             Zombie number: 47
tick: 136.0,             Human number: 58,             Zombie number: 47
tick: 137.0,             Human number: 56,             Zombie number: 49
tick: 138.0,             Human number: 56,             Zombie number: 49
tick: 139.0,             Human number: 56,             Zombie number: 49
tick: 140.0,             Human number: 55,             Zombie number: 50
tick: 141.0,             Human number: 55,             Zombie number: 50
tick: 142.0,             Human number: 53,             Zombie number: 52
tick: 143.0,             Human number: 50,             Zombie number: 55
tick: 144.0,             Human number: 49,             Zombie number: 56
tick: 145.0,             Human number: 49,             Zombie number: 56
tick: 146.0,             Human number: 49,             Zombie number: 56
tick: 147.0,             Human number: 48,             Zombie number: 57
tick: 148.0,             Human number: 48,             Zombie number: 57
tick: 149.0,             Human number: 48,             Zombie number: 57
tick: 150.0,             Human number: 47,             Zombie number: 58
tick: 151.0,             Human number: 47,             Zombie number: 58
tick: 152.0,             Human number: 46,             Zombie number: 59
tick: 153.0,             Human number: 46,             Zombie number: 59
tick: 154.0,             Human number: 43,             Zombie number: 62
tick: 155.0,             Human number: 43,             Zombie number: 62
tick: 156.0,             Human number: 43,             Zombie number: 62
tick: 157.0,             Human number: 43,             Zombie number: 62
tick: 158.0,             Human number: 43,             Zombie number: 62
tick: 159.0,             Human number: 43,             Zombie number: 62
tick: 160.0,             Human number: 43,             Zombie number: 62
tick: 161.0,             Human number: 41,             Zombie number: 64
tick: 162.0,             Human number: 40,             Zombie number: 65
tick: 163.0,             Human number: 40,             Zombie number: 65
tick: 164.0,             Human number: 39,             Zombie number: 66
tick: 165.0,             Human number: 39,             Zombie number: 66
tick: 166.0,             Human number: 36,             Zombie number: 69
tick: 167.0,             Human number: 35,             Zombie number: 70
tick: 168.0,             Human number: 35,             Zombie number: 70
tick: 169.0,             Human number: 35,             Zombie number: 70
tick: 170.0,             Human number: 32,             Zombie number: 73
tick: 171.0,             Human number: 32,             Zombie number: 73
tick: 172.0,             Human number: 32,             Zombie number: 73
tick: 173.0,             Human number: 32,             Zombie number: 73
tick: 174.0,             Human number: 31,             Zombie number: 74
tick: 175.0,             Human number: 31,             Zombie number: 74
tick: 176.0,             Human number: 31,             Zombie number: 74
tick: 177.0,             Human number: 30,             Zombie number: 75
tick: 178.0,             Human number: 30,             Zombie number: 75
tick: 179.0,             Human number: 30,             Zombie number: 75
tick: 180.0,             Human number: 29,             Zombie number: 76
tick: 181.0,             Human number: 29,             Zombie number: 76
tick: 182.0,             Human number: 28,             Zombie number: 77
tick: 183.0,             Human number: 27,             Zombie number: 78
tick: 184.0,             Human number: 27,             Zombie number: 78
tick: 185.0,             Human number: 26,             Zombie number: 79
tick: 186.0,             Human number: 26,             Zombie number: 79
tick: 187.0,             Human number: 25,             Zombie number: 80
tick: 188.0,             Human number: 25,             Zombie number: 80
tick: 189.0,             Human number: 24,             Zombie number: 81
tick: 190.0,             Human number: 24,             Zombie number: 81
tick: 191.0,             Human number: 22,             Zombie number: 83
tick: 192.0,             Human number: 20,             Zombie number: 85
tick: 193.0,             Human number: 19,             Zombie number: 86
tick: 194.0,             Human number: 19,             Zombie number: 86
tick: 195.0,             Human number: 19,             Zombie number: 86
tick: 196.0,             Human number: 19,             Zombie number: 86
tick: 197.0,             Human number: 19,             Zombie number: 86
tick: 198.0,             Human number: 19,             Zombie number: 86
tick: 199.0,             Human number: 18,             Zombie number: 87
tick: 200.0,             Human number: 17,             Zombie number: 88
tick: 201.0,             Human number: 17,             Zombie number: 88
tick: 202.0,             Human number: 17,             Zombie number: 88
tick: 203.0,             Human number: 17,             Zombie number: 88
tick: 204.0,             Human number: 17,             Zombie number: 88
tick: 205.0,             Human number: 16,             Zombie number: 89
tick: 206.0,             Human number: 16,             Zombie number: 89
tick: 207.0,             Human number: 16,             Zombie number: 89
tick: 208.0,             Human number: 16,             Zombie number: 89
tick: 209.0,             Human number: 16,             Zombie number: 89
tick: 210.0,             Human number: 16,             Zombie number: 89
tick: 211.0,             Human number: 16,             Zombie number: 89
tick: 212.0,             Human number: 15,             Zombie number: 90
tick: 213.0,             Human number: 15,             Zombie number: 90
tick: 214.0,             Human number: 15,             Zombie number: 90
tick: 215.0,             Human number: 14,             Zombie number: 91
tick: 216.0,             Human number: 14,             Zombie number: 91
tick: 217.0,             Human number: 13,             Zombie number: 92
tick: 218.0,             Human number: 12,             Zombie number: 93
tick: 219.0,             Human number: 12,             Zombie number: 93
tick: 220.0,             Human number: 11,             Zombie number: 94
tick: 221.0,             Human number: 11,             Zombie number: 94
tick: 222.0,             Human number: 11,             Zombie number: 94
tick: 223.0,             Human number: 10,             Zombie number: 95
tick: 224.0,             Human number: 9,             Zombie number: 96
tick: 225.0,             Human number: 9,             Zombie number: 96
tick: 226.0,             Human number: 9,             Zombie number: 96
tick: 227.0,             Human number: 9,             Zombie number: 96
tick: 228.0,             Human number: 8,             Zombie number: 97
tick: 229.0,             Human number: 8,             Zombie number: 97
tick: 230.0,             Human number: 7,             Zombie number: 98
tick: 231.0,             Human number: 7,             Zombie number: 98
tick: 232.0,             Human number: 7,             Zombie number: 98
tick: 233.0,             Human number: 7,             Zombie number: 98
tick: 234.0,             Human number: 7,             Zombie number: 98
tick: 235.0,             Human number: 6,             Zombie number: 99
tick: 236.0,             Human number: 6,             Zombie number: 99
tick: 237.0,             Human number: 6,             Zombie number: 99
tick: 238.0,             Human number: 6,             Zombie number: 99
tick: 239.0,             Human number: 6,             Zombie number: 99
tick: 240.0,             Human number: 6,             Zombie number: 99
tick: 241.0,             Human number: 6,             Zombie number: 99
tick: 242.0,             Human number: 6,             Zombie number: 99
tick: 243.0,             Human number: 6,             Zombie number: 99
tick: 244.0,             Human number: 6,             Zombie number: 99
tick: 245.0,             Human number: 6,             Zombie number: 99
tick: 246.0,             Human number: 6,             Zombie number: 99
tick: 247.0,             Human number: 6,             Zombie number: 99
tick: 248.0,             Human number: 6,             Zombie number: 99
tick: 249.0,             Human number: 6,             Zombie number: 99
tick: 250.0,             Human number: 6,             Zombie number: 99
tick: 251.0,             Human number: 6,             Zombie number: 99
tick: 252.0,             Human number: 5,             Zombie number: 100
tick: 253.0,             Human number: 5,             Zombie number: 100
tick: 254.0,             Human number: 5,             Zombie number: 100
tick: 255.0,             Human number: 5,             Zombie number: 100
tick: 256.0,             Human number: 5,             Zombie number: 100
tick: 257.0,             Human number: 5,             Zombie number: 100
tick: 258.0,             Human number: 5,             Zombie number: 100
tick: 259.0,             Human number: 5,             Zombie number: 100
tick: 260.0,             Human number: 5,             Zombie number: 100
tick: 261.0,             Human number: 4,             Zombie number: 101
tick: 262.0,             Human number: 3,             Zombie number: 102
tick: 263.0,             Human number: 3,             Zombie number: 102
tick: 264.0,             Human number: 3,             Zombie number: 102
tick: 265.0,             Human number: 3,             Zombie number: 102
tick: 266.0,             Human number: 3,             Zombie number: 102
tick: 267.0,             Human number: 3,             Zombie number: 102
tick: 268.0,             Human number: 3,             Zombie number: 102
tick: 269.0,             Human number: 3,             Zombie number: 102
tick: 270.0,             Human number: 2,             Zombie number: 103
tick: 271.0,             Human number: 2,             Zombie number: 103
tick: 272.0,             Human number: 2,             Zombie number: 103
tick: 273.0,             Human number: 2,             Zombie number: 103
tick: 274.0,             Human number: 2,             Zombie number: 103
tick: 275.0,             Human number: 2,             Zombie number: 103
tick: 276.0,             Human number: 2,             Zombie number: 103
tick: 277.0,             Human number: 2,             Zombie number: 103
tick: 278.0,             Human number: 2,             Zombie number: 103
tick: 279.0,             Human number: 2,             Zombie number: 103
tick: 280.0,             Human number: 2,             Zombie number: 103
tick: 281.0,             Human number: 2,             Zombie number: 103
tick: 282.0,             Human number: 2,             Zombie number: 103
tick: 283.0,             Human number: 2,             Zombie number: 103
tick: 284.0,             Human number: 2,             Zombie number: 103
tick: 285.0,             Human number: 2,             Zombie number: 103
tick: 286.0,             Human number: 2,             Zombie number: 103
tick: 287.0,             Human number: 1,             Zombie number: 104
tick: 288.0,             Human number: 1,             Zombie number: 104
tick: 289.0,             Human number: 1,             Zombie number: 104
tick: 290.0,             Human number: 1,             Zombie number: 104
tick: 291.0,             Human number: 1,             Zombie number: 104
tick: 292.0,             Human number: 1,             Zombie number: 104
tick: 293.0,             Human number: 1,             Zombie number: 104
tick: 294.0,             Human number: 1,             Zombie number: 104
tick: 295.0,             Human number: 1,             Zombie number: 104
tick: 296.0,             Human number: 1,             Zombie number: 104
tick: 297.0,             Human number: 1,             Zombie number: 104
tick: 298.0,             Human number: 1,             Zombie number: 104
tick: 299.0,             Human number: 1,             Zombie number: 104
tick: 300.0,             Human number: 1,             Zombie number: 104
tick: 301.0,             Human number: 1,             Zombie number: 104
tick: 302.0,             Human number: 1,             Zombie number: 104
tick: 303.0,             Human number: 1,             Zombie number: 104
tick: 304.0,             Human number: 1,             Zombie number: 104
tick: 305.0,             Human number: 1,             Zombie number: 104
tick: 306.0,             Human number: 1,             Zombie number: 104
tick: 307.0,             Human number: 1,             Zombie number: 104
tick: 308.0,             Human number: 1,             Zombie number: 104
tick: 309.0,             Human number: 1,             Zombie number: 104
tick: 310.0,             Human number: 1,             Zombie number: 104
tick: 311.0,             Human number: 1,             Zombie number: 104
tick: 312.0,             Human number: 1,             Zombie number: 104
tick: 313.0,             Human number: 1,             Zombie number: 104
tick: 314.0,             Human number: 1,             Zombie number: 104
tick: 315.0,             Human number: 1,             Zombie number: 104
tick: 316.0,             Human number: 1,             Zombie number: 104
tick: 317.0,             Human number: 1,             Zombie number: 104
tick: 318.0,             Human number: 1,             Zombie number: 104
tick: 319.0,             Human number: 1,             Zombie number: 104
tick: 320.0,             Human number: 1,             Zombie number: 104
tick: 321.0,             Human number: 1,             Zombie number: 104
tick: 322.0,             Human number: 1,             Zombie number: 104
tick: 323.0,             Human number: 1,             Zombie number: 104
tick: 324.0,             Human number: 1,             Zombie number: 104
tick: 325.0,             Human number: 1,             Zombie number: 104
tick: 326.0,             Human number: 1,             Zombie number: 104
tick: 327.0,             Human number: 1,             Zombie number: 104
tick: 328.0,             Human number: 1,             Zombie number: 104
tick: 329.0,             Human number: 1,             Zombie number: 104
tick: 330.0,             Human number: 1,             Zombie number: 104
tick: 331.0,             Human number: 1,             Zombie number: 104
tick: 332.0,             Human number: 1,             Zombie number: 104
tick: 333.0,             Human number: 1,             Zombie number: 104
tick: 334.0,             Human number: 1,             Zombie number: 104
tick: 335.0,             Human number: 1,             Zombie number: 104
tick: 336.0,             Human number: 1,             Zombie number: 104
tick: 337.0,             Human number: 1,             Zombie number: 104
tick: 338.0,             Human number: 1,             Zombie number: 104
tick: 339.0,             Human number: 1,             Zombie number: 104
tick: 340.0,             Human number: 1,             Zombie number: 104
tick: 341.0,             Human number: 1,             Zombie number: 104
tick: 342.0,             Human number: 1,             Zombie number: 104
tick: 343.0,             Human number: 1,             Zombie number: 104
tick: 344.0,             Human number: 0,             Zombie number: 105
tick: 345.0,             Human number: 0,             Zombie number: 105
tick: 346.0,             Human number: 0,             Zombie number: 105
tick: 347.0,             Human number: 0,             Zombie number: 105
tick: 348.0,             Human number: 0,             Zombie number: 105
tick: 349.0,             Human number: 0,             Zombie number: 105
tick: 350.0,             Human number: 0,             Zombie number: 105
tick: 351.0,             Human number: 0,             Zombie number: 105
tick: 352.0,             Human number: 0,             Zombie number: 105
tick: 353.0,             Human number: 0,             Zombie number: 105
tick: 354.0,             Human number: 0,             Zombie number: 105
tick: 355.0,             Human number: 0,             Zombie number: 105
tick: 356.0,             Human number: 0,             Zombie number: 105
tick: 357.0,             Human number: 0,             Zombie number: 105
tick: 358.0,             Human number: 0,             Zombie number: 105
tick: 359.0,             Human number: 0,             Zombie number: 105
tick: 360.0,             Human number: 0,             Zombie number: 105
tick: 361.0,             Human number: 0,             Zombie number: 105
tick: 362.0,             Human number: 0,             Zombie number: 105
tick: 363.0,             Human number: 0,             Zombie number: 105
tick: 364.0,             Human number: 0,             Zombie number: 105
tick: 365.0,             Human number: 0,             Zombie number: 105
tick: 366.0,             Human number: 0,             Zombie number: 105
tick: 367.0,             Human number: 0,             Zombie number: 105
tick: 368.0,             Human number: 0,             Zombie number: 105
tick: 369.0,             Human number: 0,             Zombie number: 105
tick: 370.0,             Human number: 0,             Zombie number: 105
tick: 371.0,             Human number: 0,             Zombie number: 105
tick: 372.0,             Human number: 0,             Zombie number: 105
tick: 373.0,             Human number: 0,             Zombie number: 105
tick: 374.0,             Human number: 0,             Zombie number: 105
tick: 375.0,             Human number: 0,             Zombie number: 105
tick: 376.0,             Human number: 0,             Zombie number: 105
tick: 377.0,             Human number: 0,             Zombie number: 105
tick: 378.0,             Human number: 0,             Zombie number: 105
tick: 379.0,             Human number: 0,             Zombie number: 105
tick: 380.0,             Human number: 0,             Zombie number: 105
tick: 381.0,             Human number: 0,             Zombie number: 105
tick: 382.0,             Human number: 0,             Zombie number: 105
tick: 383.0,             Human number: 0,             Zombie number: 105
tick: 384.0,             Human number: 0,             Zombie number: 105
tick: 385.0,             Human number: 0,             Zombie number: 105
tick: 386.0,             Human number: 0,             Zombie number: 105
tick: 387.0,             Human number: 0,             Zombie number: 105
tick: 388.0,             Human number: 0,             Zombie number: 105
tick: 389.0,             Human number: 0,             Zombie number: 105
tick: 390.0,             Human number: 0,             Zombie number: 105
tick: 391.0,             Human number: 0,             Zombie number: 105
tick: 392.0,             Human number: 0,             Zombie number: 105
tick: 393.0,             Human number: 0,             Zombie number: 105
tick: 394.0,             Human number: 0,             Zombie number: 105
tick: 395.0,             Human number: 0,             Zombie number: 105
tick: 396.0,             Human number: 0,             Zombie number: 105
tick: 397.0,             Human number: 0,             Zombie number: 105
tick: 398.0,             Human number: 0,             Zombie number: 105
tick: 399.0,             Human number: 0,             Zombie number: 105
tick: 400.0,             Human number: 0,             Zombie number: 105
tick: 401.0,             Human number: 0,             Zombie number: 105
tick: 402.0,             Human number: 0,             Zombie number: 105
tick: 403.0,             Human number: 0,             Zombie number: 105
tick: 404.0,             Human number: 0,             Zombie number: 105
tick: 405.0,             Human number: 0,             Zombie number: 105
tick: 406.0,             Human number: 0,             Zombie number: 105
tick: 407.0,             Human number: 0,             Zombie number: 105
tick: 408.0,             Human number: 0,             Zombie number: 105
tick: 409.0,             Human number: 0,             Zombie number: 105
tick: 410.0,             Human number: 0,             Zombie number: 105
tick: 411.0,             Human number: 0,             Zombie number: 105
tick: 412.0,             Human number: 0,             Zombie number: 105
tick: 413.0,             Human number: 0,             Zombie number: 105
tick: 414.0,             Human number: 0,             Zombie number: 105
tick: 415.0,             Human number: 0,             Zombie number: 105
tick: 416.0,             Human number: 0,             Zombie number: 105
tick: 417.0,             Human number: 0,             Zombie number: 105
tick: 418.0,             Human number: 0,             Zombie number: 105
tick: 419.0,             Human number: 0,             Zombie number: 105
tick: 420.0,             Human number: 0,             Zombie number: 105
tick: 421.0,             Human number: 0,             Zombie number: 105
tick: 422.0,             Human number: 0,             Zombie number: 105
tick: 423.0,             Human number: 0,             Zombie number: 105
tick: 424.0,             Human number: 0,             Zombie number: 105
tick: 425.0,             Human number: 0,             Zombie number: 105
tick: 426.0,             Human number: 0,             Zombie number: 105
tick: 427.0,             Human number: 0,             Zombie number: 105
tick: 428.0,             Human number: 0,             Zombie number: 105
tick: 429.0,             Human number: 0,             Zombie number: 105
tick: 430.0,             Human number: 0,             Zombie number: 105
tick: 431.0,             Human number: 0,             Zombie number: 105
tick: 432.0,             Human number: 0,             Zombie number: 105
tick: 433.0,             Human number: 0,             Zombie number: 105
tick: 434.0,             Human number: 0,             Zombie number: 105
tick: 435.0,             Human number: 0,             Zombie number: 105
tick: 436.0,             Human number: 0,             Zombie number: 105
tick: 437.0,             Human number: 0,             Zombie number: 105
tick: 438.0,             Human number: 0,             Zombie number: 105
tick: 439.0,             Human number: 0,             Zombie number: 105
tick: 440.0,             Human number: 0,             Zombie number: 105
tick: 441.0,             Human number: 0,             Zombie number: 105
tick: 442.0,             Human number: 0,             Zombie number: 105
tick: 443.0,             Human number: 0,             Zombie number: 105
tick: 444.0,             Human number: 0,             Zombie number: 105
tick: 445.0,             Human number: 0,             Zombie number: 105
tick: 446.0,             Human number: 0,             Zombie number: 105
tick: 447.0,             Human number: 0,             Zombie number: 105
tick: 448.0,             Human number: 0,             Zombie number: 105
tick: 449.0,             Human number: 0,             Zombie number: 105
tick: 450.0,             Human number: 0,             Zombie number: 105
tick: 451.0,             Human number: 0,             Zombie number: 105
tick: 452.0,             Human number: 0,             Zombie number: 105
tick: 453.0,             Human number: 0,             Zombie number: 105
tick: 454.0,             Human number: 0,             Zombie number: 105
tick: 455.0,             Human number: 0,             Zombie number: 105
tick: 456.0,             Human number: 0,             Zombie number: 105
tick: 457.0,             Human number: 0,             Zombie number: 105
tick: 458.0,             Human number: 0,             Zombie number: 105
tick: 459.0,             Human number: 0,             Zombie number: 105
tick: 460.0,             Human number: 0,             Zombie number: 105
tick: 461.0,             Human number: 0,             Zombie number: 105
tick: 462.0,             Human number: 0,             Zombie number: 105
tick: 463.0,             Human number: 0,             Zombie number: 105
tick: 464.0,             Human number: 0,             Zombie number: 105
tick: 465.0,             Human number: 0,             Zombie number: 105
tick: 466.0,             Human number: 0,             Zombie number: 105
tick: 467.0,             Human number: 0,             Zombie number: 105
tick: 468.0,             Human number: 0,             Zombie number: 105
tick: 469.0,             Human number: 0,             Zombie number: 105
tick: 470.0,             Human number: 0,             Zombie number: 105
tick: 471.0,             Human number: 0,             Zombie number: 105
tick: 472.0,             Human number: 0,             Zombie number: 105
tick: 473.0,             Human number: 0,             Zombie number: 105
tick: 474.0,             Human number: 0,             Zombie number: 105
tick: 475.0,             Human number: 0,             Zombie number: 105
tick: 476.0,             Human number: 0,             Zombie number: 105
tick: 477.0,             Human number: 0,             Zombie number: 105
tick: 478.0,             Human number: 0,             Zombie number: 105
tick: 479.0,             Human number: 0,             Zombie number: 105
tick: 480.0,             Human number: 0,             Zombie number: 105
tick: 481.0,             Human number: 0,             Zombie number: 105
tick: 482.0,             Human number: 0,             Zombie number: 105
tick: 483.0,             Human number: 0,             Zombie number: 105
tick: 484.0,             Human number: 0,             Zombie number: 105
tick: 485.0,             Human number: 0,             Zombie number: 105
tick: 486.0,             Human number: 0,             Zombie number: 105
tick: 487.0,             Human number: 0,             Zombie number: 105
tick: 488.0,             Human number: 0,             Zombie number: 105
tick: 489.0,             Human number: 0,             Zombie number: 105
tick: 490.0,             Human number: 0,             Zombie number: 105
tick: 491.0,             Human number: 0,             Zombie number: 105
tick: 492.0,             Human number: 0,             Zombie number: 105
tick: 493.0,             Human number: 0,             Zombie number: 105
tick: 494.0,             Human number: 0,             Zombie number: 105
tick: 495.0,             Human number: 0,             Zombie number: 105
tick: 496.0,             Human number: 0,             Zombie number: 105
tick: 497.0,             Human number: 0,             Zombie number: 105
tick: 498.0,             Human number: 0,             Zombie number: 105
tick: 499.0,             Human number: 0,             Zombie number: 105
tick: 500.0,             Human number: 0,             Zombie number: 105
tick: 501.0,             Human number: 0,             Zombie number: 105
tick: 502.0,             Human number: 0,             Zombie number: 105
tick: 503.0,             Human number: 0,             Zombie number: 105
tick: 504.0,             Human number: 0,             Zombie number: 105
tick: 505.0,             Human number: 0,             Zombie number: 105
tick: 506.0,             Human number: 0,             Zombie number: 105
tick: 507.0,             Human number: 0,             Zombie number: 105
tick: 508.0,             Human number: 0,             Zombie number: 105
tick: 509.0,             Human number: 0,             Zombie number: 105
tick: 510.0,             Human number: 0,             Zombie number: 105
tick: 511.0,             Human number: 0,             Zombie number: 105
tick: 512.0,             Human number: 0,             Zombie number: 105
tick: 513.0,             Human number: 0,             Zombie number: 105
tick: 514.0,             Human number: 0,             Zombie number: 105
tick: 515.0,             Human number: 0,             Zombie number: 105
tick: 516.0,             Human number: 0,             Zombie number: 105
tick: 517.0,             Human number: 0,             Zombie number: 105
tick: 518.0,             Human number: 0,             Zombie number: 105
tick: 519.0,             Human number: 0,             Zombie number: 105
tick: 520.0,             Human number: 0,             Zombie number: 105
tick: 521.0,             Human number: 0,             Zombie number: 105
tick: 522.0,             Human number: 0,             Zombie number: 105
tick: 523.0,             Human number: 0,             Zombie number: 105
tick: 524.0,             Human number: 0,             Zombie number: 105
tick: 525.0,             Human number: 0,             Zombie number: 105
tick: 526.0,             Human number: 0,             Zombie number: 105
tick: 527.0,             Human number: 0,             Zombie number: 105
tick: 528.0,             Human number: 0,             Zombie number: 105
tick: 529.0,             Human number: 0,             Zombie number: 105
tick: 530.0,             Human number: 0,             Zombie number: 105
tick: 531.0,             Human number: 0,             Zombie number: 105
tick: 532.0,             Human number: 0,             Zombie number: 105
tick: 533.0,             Human number: 0,             Zombie number: 105
tick: 534.0,             Human number: 0,             Zombie number: 105
tick: 535.0,             Human number: 0,             Zombie number: 105
tick: 536.0,             Human number: 0,             Zombie number: 105
tick: 537.0,             Human number: 0,             Zombie number: 105
